timestamp,num1,operator,num2,timetaken,got_wrong,ranked,game_time,key_strokes, wrong_ans
1694872174.291593,79,+,56,9.01,True,False,0,0.000
1694872179.489758,88,+,68,5.2,False,False,0,0.000
1694872182.2102358,78,/,6,2.72,False,False,0,0.000
1694872198.048458,12,*,61,15.84,True,False,0,0.000
1694872199.9633348,29,-,50,1.91,False,False,0,0.000
1694872205.6477199,178,/,2,5.68,False,False,0,0.000
1694872208.7824872,3,*,14,3.13,False,False,0,0.000
1694872210.886327,210,/,7,2.1,False,False,0,0.000
1694872220.624096,16,-,95,9.74,True,False,0,0.000
1694913017.554007,31,-,54,1.61,False,False,0,0.000
1694913019.65264,630,/,7,2.1,False,False,0,0.000
1694913021.0177422,27,-,20,1.36,True,False,0,0.000
1694913030.25528,51,-,78,9.24,True,False,0,0.000
1694913031.215585,120,/,6,0.96,False,False,0,0.000
1694913036.437204,91,-,14,5.22,True,False,0,0.000
1694913037.778463,55,+,25,1.34,False,False,0,0.000
1694913038.658456,99,-,90,0.88,False,False,0,0.000
1694913039.5292401,10,*,8,0.87,False,False,0,0.000
1694913040.6763678,11,*,30,1.15,False,False,0,0.000
1694913048.335735,9,*,74,7.66,False,False,0,0.000
1694913050.6562428,780,/,10,2.32,False,False,0,0.000
1694913052.782612,9,+,2,2.13,False,False,0,0.000
1694915243.087287,186,/,2,1.8,False,False,0,0.000
1694915245.57217,53,+,58,2.48,False,False,0,0.000
1694915246.852302,3,*,70,1.28,False,False,0,0.000
1694915248.8979578,62,+,32,2.05,False,False,0,0.000
1694915250.254306,680,/,10,1.36,False,False,0,0.000
1694915252.517094,158,/,2,2.26,False,False,0,0.000
1694915255.6901681,93,-,86,3.17,False,False,0,0.000
1694915258.582227,73,+,24,2.89,False,False,0,0.000
1694915260.4855711,55,+,61,1.9,False,False,0,0.000
1694915264.7138948,195,/,3,4.23,False,False,0,0.000
1694915273.074998,12,*,41,8.36,False,False,0,0.000
1694915298.614688,12,*,79,25.54,True,False,0,0.000
1694915307.756984,7,*,51,9.14,True,False,0,0.000
1694917056.856561,46,-,100,1.501,False,False,0,0.000
1694917059.0809321,91,+,63,2.224,False,False,0,0.000
1694917059.9544,3,*,9,0.873,False,False,0,0.000
1694917061.3538492,78,-,52,1.399,False,False,0,0.000
1694917063.034973,810,/,9,1.681,False,False,0,0.000
1694917073.4985678,12,*,79,10.463,False,False,0,0.000
1694917074.96658,850,/,10,1.468,False,False,0,0.000
1694917079.09278,66,+,52,4.126,False,False,0,0.000
1694917080.886336,21,+,24,1.793,False,False,0,0.000
1694917082.913131,5,*,23,2.027,False,False,0,0.000
1694917083.899006,500,/,5,0.986,False,False,0,0.000
1694917089.130663,6,*,68,5.232,False,False,0,0.000
1694917092.8905249,93,+,87,3.76,False,False,0,0.000
1694917114.76972,77,/,7,21.879,False,False,0,0.000
1694917124.722173,464,/,8,9.952,False,False,0,0.000
1694917126.142848,50,+,29,1.42,False,False,0,0.000
1694917127.687339,4,*,9,1.544,False,False,0,0.000
1694917132.827716,27,-,91,5.14,True,False,0,0.000
1694917134.616693,13,+,34,1.789,False,False,0,0.000
1694917136.3217301,90,+,13,1.705,False,False,0,0.000
1694917139.127959,441,/,9,2.806,False,False,0,0.000
1694917140.515834,600,/,12,1.388,False,False,0,0.000
1694917144.132958,429,/,11,3.617,False,False,0,0.000
1694917147.2914891,17,+,85,3.158,False,False,0,0.000
1694917166.4021409,126,/,7,19.111,False,False,0,0.000
1694917167.557117,450,/,9,1.155,False,False,0,0.000
1694917179.803288,720,/,8,12.246,False,False,0,0.000
1694917200.342249,567,/,7,20.539,False,False,0,0.000
1694917249.889067,53,-,28,3.196,False,False,0,0.000
1694917252.1697102,9,*,81,2.281,False,False,0,0.000
1694917253.925638,35,+,73,1.756,False,False,0,0.000
1694917273.530804,340,/,4,19.605,False,False,0,0.000
1694917275.854912,17,+,75,2.324,False,False,0,0.000
1694917281.587606,624,/,12,5.733,False,False,0,0.000
1694917283.443504,990,/,11,1.856,False,False,0,0.000
1694917291.712449,6,*,89,8.269,False,False,0,0.000
1694917293.170512,3,+,85,1.458,False,False,0,0.000
1694917294.923929,64,+,23,1.753,False,False,0,0.000
1694917296.893234,83,+,65,1.969,False,False,0,0.000
1694917302.8692842,38,+,15,5.976,True,False,0,0.000
1694917304.185792,85,-,5,1.316,False,False,0,0.000
1694917306.0558221,77,+,43,1.87,False,False,0,0.000
1694917308.753716,98,+,33,2.698,False,False,0,0.000
1694917309.563776,11,*,2,0.81,False,False,0,0.000
1694917311.85518,15,+,71,2.291,False,False,0,0.000
1694917313.071736,83,-,84,1.216,False,False,0,0.000
1694917328.27191,759,/,11,15.2,False,False,0,0.000
1694917329.653003,4,+,11,1.381,False,False,0,0.000
1694917331.6668632,97,-,16,2.014,False,False,0,0.000
1694917338.372208,78,+,68,6.705,False,False,0,0.000
1694917340.021666,27,+,25,1.649,False,False,0,0.000
1694917341.639662,17,-,77,1.618,False,False,0,0.000
1694917344.6092749,6,*,35,2.969,False,False,0,0.000
1694917346.203713,7,*,40,1.594,False,False,0,0.000
1694917408.5035021,165,/,5,7.063,False,False,0,0.000
1694917409.994743,620,/,10,1.491,False,False,0,0.000
1694917435.766407,12,*,37,25.772,True,False,0,0.000
1694917450.8461099,1164,/,12,15.08,False,False,0,0.000
1694917460.1265988,819,/,9,9.28,False,False,0,0.000
1694917461.174721,76,-,73,1.048,False,False,0,0.000
1694917462.843445,224,/,4,1.669,False,False,0,0.000
1694917466.951967,371,/,7,4.108,False,False,0,0.000
1694917468.671371,63,-,6,1.719,False,False,0,0.000
1694917470.009341,72,-,61,1.338,False,False,0,0.000
1694917473.0357969,49,+,56,3.026,False,False,0,0.000
1694917475.313864,141,/,3,2.278,False,False,0,0.000
1694917477.412759,84,+,81,2.099,False,False,0,0.000
